Geography,Violations ,2008,2009,2010,2011,2012
Canada (50),"Total, all violations",2485043,2448654,2379130,2275917,2235325
Canada (50),Total Criminal Code traffic violations,145205,146142,142846,145529,140869
Canada (50),Total impaired driving (49),84694,88303,87231,89607,84483
Canada (50),"Impaired operation, causing death",196,154,164,128,134
Canada (50),"Impaired operation (drugs), causing death",1,5,5,2,4
Canada (50),"Impaired operation, causing bodily harm",937,895,814,829,718
Canada (50),"Impaired operation (drugs), causing bodily harm",4,12,17,19,16
Canada (50),"Impaired operation of motor vehicle, vessel or aircraft (51)",79446,81966,80958,83337,78307
Canada (50),"Impaired operation (drugs) vehicle, vessel, aircraft",441,1407,1679,1836,1924
Canada (50),"Impaired operation, failure to provide breath sample",3520,3714,3500,3398,3314
Canada (50),Failure to comply or refusal (drugs),6,22,25,20,22
Canada (50),"Impaired operation, failure to provide blood sample",142,119,66,34,39
Canada (50),Failure to provide blood sample (drugs),1,9,3,4,5
Canada (50),Total other Criminal Code traffic violations,60511,57839,55615,55922,56386
Canada (50),"Dangerous operation, causing death",111,102,99,89,57
Canada (50),"Dangerous operation, causing bodily harm",580,579,584,509,487
Canada (50),"Dangerous operation of motor vehicle, vessel or aircraft",7331,7092,6826,6464,6738
Canada (50),"Dangerous operation evading police, causing death",2,4,1,2,2
Canada (50),"Dangerous operation evading police, causing bodily harm",37,45,42,32,34
Canada (50),Dangerous operation of motor vehicle evading police,2496,2067,2331,2278,2223
Canada (50),Total fail to stop or remain (46),42695,40413,37996,38973,39808
Canada (50),Driving while prohibited,6915,7177,7357,7199,6651
Canada (50),Other Criminal Code traffic violations,246,220,240,219,223
Canada (50),Causing death by criminal negligence while street racing,2,2,3,2,1
Canada (50),Causing bodily harm by criminal negligence while street racing,2,3,2,3,4
Canada (50),Dangerous operation causing death while street racing,1,2,5,1,1
Canada (50),Dangerous operation causing bodily harm while street racing,7,7,4,2,4
Canada (50),Dangerous operation of motor vehicle while street racing,86,126,125,149,153
Newfoundland and Labrador,"Total, all violations",36175,37531,39330,37465,35875
Newfoundland and Labrador, ,1992,2242,2572,2269,2266
Newfoundland and Labrador,Total impaired driving (49),1583,1729,2124,1841,1852
Newfoundland and Labrador,"Impaired operation, causing death",3,0,1,1,0
Newfoundland and Labrador,"Impaired operation (drugs), causing death",,,0,0,0
Newfoundland and Labrador,"Impaired operation, causing bodily harm",9,10,11,15,10
Newfoundland and Labrador,"Impaired operation (drugs), causing bodily harm",0,2,1,0,0
Newfoundland and Labrador,"Impaired operation of motor vehicle, vessel or aircraft (51)",1491,1582,1963,1714,1719
Newfoundland and Labrador,"Impaired operation (drugs) vehicle, vessel, aircraft",28,68,94,67,75
Newfoundland and Labrador,"Impaired operation, failure to provide breath sample",47,52,48,41,43
Newfoundland and Labrador,Failure to comply or refusal (drugs),0,8,1,3,1
Newfoundland and Labrador,"Impaired operation, failure to provide blood sample",5,7,5,0,4
Newfoundland and Labrador,Failure to provide blood sample (drugs),,,0,0,0
Newfoundland and Labrador,Total other Criminal Code traffic violations,409,513,448,428,414
Newfoundland and Labrador,"Dangerous operation, causing death",2,2,0,3,0
Newfoundland and Labrador,"Dangerous operation, causing bodily harm",8,10,9,3,3
Newfoundland and Labrador,"Dangerous operation of motor vehicle, vessel or aircraft",87,111,69,50,63
Newfoundland and Labrador,"Dangerous operation evading police, causing death",0,0,0,0,0
Newfoundland and Labrador,"Dangerous operation evading police, causing bodily harm",0,1,2,0,0
Newfoundland and Labrador,Dangerous operation of motor vehicle evading police,48,40,39,45,49
Newfoundland and Labrador,Total fail to stop or remain (46),174,224,227,205,178
Newfoundland and Labrador,Driving while prohibited,78,120,97,112,118
Newfoundland and Labrador,Other Criminal Code traffic violations,5,3,1,5,2
Newfoundland and Labrador,Causing death by criminal negligence while street racing,0,1,0,2,0
Newfoundland and Labrador,Causing bodily harm by criminal negligence while street racing,,,1,2,0
Newfoundland and Labrador,Dangerous operation causing death while street racing,1,0,0,0,0
Newfoundland and Labrador,Dangerous operation causing bodily harm while street racing,1,0,0,0,0
Newfoundland and Labrador,Dangerous operation of motor vehicle while street racing,5,1,3,1,1
"St. John's, Newfoundland and Labrador (4)","Total, all violations",14225,15475,16624,15721,15315
"St. John's, Newfoundland and Labrador (4)",Total Criminal Code traffic violations,839,900,995,1153,1187
"St. John's, Newfoundland and Labrador (4)",Total impaired driving (49),758,804,898,1056,1102
"St. John's, Newfoundland and Labrador (4)","Impaired operation, causing death",0,0,0,0,0
"St. John's, Newfoundland and Labrador (4)","Impaired operation (drugs), causing death",,,0,0,0
"St. John's, Newfoundland and Labrador (4)","Impaired operation, causing bodily harm",4,3,4,4,5
"St. John's, Newfoundland and Labrador (4)","Impaired operation (drugs), causing bodily harm",0,1,1,0,0
"St. John's, Newfoundland and Labrador (4)","Impaired operation of motor vehicle, vessel or aircraft (51)",730,734,825,999,1021
"St. John's, Newfoundland and Labrador (4)","Impaired operation (drugs) vehicle, vessel, aircraft",5,28,41,34,50
"St. John's, Newfoundland and Labrador (4)","Impaired operation, failure to provide breath sample",17,29,22,17,23
"St. John's, Newfoundland and Labrador (4)",Failure to comply or refusal (drugs),0,4,1,2,1
"St. John's, Newfoundland and Labrador (4)","Impaired operation, failure to provide blood sample",2,5,4,0,2
"St. John's, Newfoundland and Labrador (4)",Failure to provide blood sample (drugs),,,0,0,0
"St. John's, Newfoundland and Labrador (4)",Total other Criminal Code traffic violations,81,96,97,97,85
"St. John's, Newfoundland and Labrador (4)","Dangerous operation, causing death",1,2,0,0,0
"St. John's, Newfoundland and Labrador (4)","Dangerous operation, causing bodily harm",2,1,2,1,1
"St. John's, Newfoundland and Labrador (4)","Dangerous operation of motor vehicle, vessel or aircraft",10,9,11,3,9
"St. John's, Newfoundland and Labrador (4)","Dangerous operation evading police, causing death",0,0,0,0,0
"St. John's, Newfoundland and Labrador (4)","Dangerous operation evading police, causing bodily harm",0,1,2,0,0
"St. John's, Newfoundland and Labrador (4)",Dangerous operation of motor vehicle evading police,17,10,17,24,18
"St. John's, Newfoundland and Labrador (4)",Total fail to stop or remain (46),10,10,19,12,13
"St. John's, Newfoundland and Labrador (4)",Driving while prohibited,35,59,44,50,43
"St. John's, Newfoundland and Labrador (4)",Other Criminal Code traffic violations,4,3,1,5,1
"St. John's, Newfoundland and Labrador (4)",Causing death by criminal negligence while street racing,,,0,2,0
"St. John's, Newfoundland and Labrador (4)",Causing bodily harm by criminal negligence while street racing,,,1,0,0
"St. John's, Newfoundland and Labrador (4)",Dangerous operation causing death while street racing,1,0,0,0,0
"St. John's, Newfoundland and Labrador (4)",Dangerous operation causing bodily harm while street racing,,,0,0,0
"St. John's, Newfoundland and Labrador (4)",Dangerous operation of motor vehicle while street racing,1,1,0,0,0
Prince Edward Island (51),"Total, all violations",9622,9979,10117,10500,10672
Prince Edward Island (51),Total Criminal Code traffic violations,635,833,928,888,646
Prince Edward Island (51),Total impaired driving (49),465,658,728,717,480
Prince Edward Island (51),"Impaired operation, causing death",0,1,0,1,3
Prince Edward Island (51),"Impaired operation (drugs), causing death",,,0,0,0
Prince Edward Island (51),"Impaired operation, causing bodily harm",4,8,2,5,5
Prince Edward Island (51),"Impaired operation (drugs), causing bodily harm",,,0,0,0
Prince Edward Island (51),"Impaired operation of motor vehicle, vessel or aircraft (51)",443,601,697,688,452
Prince Edward Island (51),"Impaired operation (drugs) vehicle, vessel, aircraft",3,19,8,12,11
Prince Edward Island (51),"Impaired operation, failure to provide breath sample",15,27,20,11,9
Prince Edward Island (51),Failure to comply or refusal (drugs),,,0,0,0
Prince Edward Island (51),"Impaired operation, failure to provide blood sample",0,2,1,0,0
Prince Edward Island (51),Failure to provide blood sample (drugs),,,0,0,0
Prince Edward Island (51),Total other Criminal Code traffic violations,170,175,200,171,166
Prince Edward Island (51),"Dangerous operation, causing death",1,0,1,0,0
Prince Edward Island (51),"Dangerous operation, causing bodily harm",4,2,5,3,2
Prince Edward Island (51),"Dangerous operation of motor vehicle, vessel or aircraft",33,15,19,31,29
Prince Edward Island (51),"Dangerous operation evading police, causing death",0,0,0,0,0
Prince Edward Island (51),"Dangerous operation evading police, causing bodily harm",0,0,0,0,0
Prince Edward Island (51),Dangerous operation of motor vehicle evading police,7,12,15,12,16
Prince Edward Island (51),Total fail to stop or remain (46),64,87,81,57,50
Prince Edward Island (51),Driving while prohibited,61,59,79,66,68
Prince Edward Island (51),Other Criminal Code traffic violations,0,0,0,0,0
Prince Edward Island (51),Causing death by criminal negligence while street racing,,,0,0,0
Prince Edward Island (51),Causing bodily harm by criminal negligence while street racing,,,0,0,0
Prince Edward Island (51),Dangerous operation causing death while street racing,,,0,0,0
Prince Edward Island (51),Dangerous operation causing bodily harm while street racing,,,0,0,0
Prince Edward Island (51),Dangerous operation of motor vehicle while street racing,,,0,2,1
Nova Scotia,"Total, all violations",72608,72705,73827,69357,67407
Nova Scotia,Total Criminal Code traffic violations,3369,3879,4116,3835,3398
Nova Scotia,Total impaired driving (49),2667,3149,3431,3095,2693
Nova Scotia,"Impaired operation, causing death",2,2,3,5,3
Nova Scotia,"Impaired operation (drugs), causing death",,,0,0,0
Nova Scotia,"Impaired operation, causing bodily harm",19,16,17,22,22
Nova Scotia,"Impaired operation (drugs), causing bodily harm",0,1,2,0,2
Nova Scotia,"Impaired operation of motor vehicle, vessel or aircraft (51)",2499,2949,3173,2864,2479
Nova Scotia,"Impaired operation (drugs) vehicle, vessel, aircraft",38,72,125,111,110
Nova Scotia,"Impaired operation, failure to provide breath sample",97,97,106,85,74
Nova Scotia,Failure to comply or refusal (drugs),1,0,1,3,1
Nova Scotia,"Impaired operation, failure to provide blood sample",11,12,4,4,2
Nova Scotia,Failure to provide blood sample (drugs),,,0,1,0
Nova Scotia,Total other Criminal Code traffic violations,702,730,685,740,705
Nova Scotia,"Dangerous operation, causing death",1,1,1,3,0
Nova Scotia,"Dangerous operation, causing bodily harm",6,9,15,7,5
Nova Scotia,"Dangerous operation of motor vehicle, vessel or aircraft",198,215,192,187,179
Nova Scotia,"Dangerous operation evading police, causing death",0,0,0,0,0
Nova Scotia,"Dangerous operation evading police, causing bodily harm",1,0,1,1,1
Nova Scotia,Dangerous operation of motor vehicle evading police,96,72,67,60,83
Nova Scotia,Total fail to stop or remain (46),184,184,182,257,218
Nova Scotia,Driving while prohibited,203,238,215,212,185
Nova Scotia,Other Criminal Code traffic violations,6,1,3,2,3
Nova Scotia,Causing death by criminal negligence while street racing,,,0,0,0
Nova Scotia,Causing bodily harm by criminal negligence while street racing,,,0,0,0
Nova Scotia,Dangerous operation causing death while street racing,,,0,0,0
Nova Scotia,Dangerous operation causing bodily harm while street racing,,,0,0,0
Nova Scotia,Dangerous operation of motor vehicle while street racing,7,10,9,11,31
"Halifax, Nova Scotia","Total, all violations",30968,31038,32428,29375,26834
"Halifax, Nova Scotia",Total Criminal Code traffic violations,1123,1233,1281,1273,1268
"Halifax, Nova Scotia",Total impaired driving (49),932,1005,1080,1110,1095
"Halifax, Nova Scotia","Impaired operation, causing death",0,0,1,1,0
"Halifax, Nova Scotia","Impaired operation (drugs), causing death",,,0,0,0
"Halifax, Nova Scotia","Impaired operation, causing bodily harm",7,9,8,11,7
"Halifax, Nova Scotia","Impaired operation (drugs), causing bodily harm",0,1,0,0,0
"Halifax, Nova Scotia","Impaired operation of motor vehicle, vessel or aircraft (51)",901,950,1026,1052,1029
"Halifax, Nova Scotia","Impaired operation (drugs) vehicle, vessel, aircraft",9,30,32,33,43
"Halifax, Nova Scotia","Impaired operation, failure to provide breath sample",15,13,11,13,16
"Halifax, Nova Scotia",Failure to comply or refusal (drugs),,,0,0,0
"Halifax, Nova Scotia","Impaired operation, failure to provide blood sample",0,2,2,0,0
"Halifax, Nova Scotia",Failure to provide blood sample (drugs),,,0,0,0
"Halifax, Nova Scotia",Total other Criminal Code traffic violations,191,228,201,163,173
"Halifax, Nova Scotia","Dangerous operation, causing death",0,0,1,1,0
"Halifax, Nova Scotia","Dangerous operation, causing bodily harm",0,1,6,2,0
"Halifax, Nova Scotia","Dangerous operation of motor vehicle, vessel or aircraft",31,37,38,33,41
"Halifax, Nova Scotia","Dangerous operation evading police, causing death",0,0,0,0,0
"Halifax, Nova Scotia","Dangerous operation evading police, causing bodily harm",0,0,1,1,0
